"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MTFR2",-0.283461843733162,-0.342611820433664,-0.772029291882461,0.443506392608187,0.823654290464313,-5.15087892364216
"FGFR1",0.201258352144708,2.3105785104855,0.771974635737417,0.443538487007725,0.823654290464313,-5.44273939650581
"CCNY",-0.0900234662817893,5.23130080421733,-0.771908355620401,0.443577408900221,0.823654290464313,-5.97052828544342
"TXNDC15",0.1102925979518,4.14245288842579,0.771797992138782,0.443642222464482,0.823654290464313,-5.78394537171586
"Z82215.1",0.265817873725836,2.09564346961861,0.771588517442569,0.44376525673107,0.823654290464313,-5.41859349886616
"MAP3K3",0.102622809652784,4.80153651948602,0.771534634610468,0.443796907873384,0.823654290464313,-5.8988394820972
"THAP6",0.0855969574942475,4.19778827226638,0.771529173325456,0.443800115943365,0.823654290464313,-5.79710758228063
"MOB3C",-0.240594455255499,1.30063016673169,-0.771472321225816,0.44383351283273,0.823654290464313,-5.30643890737479
"SMARCA2",0.0662363856267277,6.36194704383048,0.77144377842647,0.443850280416589,0.823654290464313,-6.13135029503244
"NDUFAF4",0.135125720931618,4.71682291710364,0.771253510451197,0.443962063618906,0.823701543469617,-5.88583910328274
"NAA15",-0.0889804369700817,5.04636556945426,-0.771207654602528,0.443989006586579,0.823701543469617,-5.94229822998348
"ZNF530",-0.234796767361298,1.00462686525686,-0.770908508385571,0.444164795877642,0.823922580798407,-5.26587421697966
"AF230666.1",-0.253976724769022,-0.293896984295456,-0.770607827658913,0.444341528067152,0.824133028063622,-5.15655772436853
"CIAO1",0.0743335298890776,5.46721329234748,0.770522707743145,0.444391566799793,0.824133028063622,-6.00846557546569
"DHRS7B",0.171318174476084,2.42067465663874,0.770277847620626,0.44453552910859,0.824273233664372,-5.46404419720168
"PPP5C",-0.150709786844756,3.61191624746853,-0.77011525146145,0.444631140511794,0.824273233664372,-5.68673476417161
"TRIM11",0.107310142902426,4.21223528071131,0.770043023437257,0.4446736166193,0.824273233664372,-5.7976157790591
"ZNF543",-0.251924443456957,0.590030564420442,-0.769965212343204,0.444719378701413,0.824273233664372,-5.22513900494643
"AP000926.2",-0.248973800869419,0.0536582312899123,-0.769842300526514,0.444791670945308,0.824273233664372,-5.17471892761322
"GPR108",-0.117537747867635,4.75897796119096,-0.769760366546907,0.444839865349983,0.824273233664372,-5.89279474852621
"NAF1",0.162374498607987,3.82113394467277,0.769481766724267,0.445003763526271,0.824273233664372,-5.72656783588238
"CPEB3",0.254926704473969,1.26174316528565,0.769397619479046,0.445053273678654,0.824273233664372,-5.28875082466574
"ZNF558",0.177538979074755,1.69351033850864,0.769261799661979,0.445133193504603,0.824273233664372,-5.35081171685733
"ZDHHC1",-0.283324447353663,0.479500311517513,-0.769261556162532,0.44513333679341,0.824273233664372,-5.21447411616357
"GOLGB1",0.0882686592882651,7.00902085569531,0.769241828422946,0.44514494579786,0.824273233664372,-6.20798227109888
"ZNF347",-0.275530097129034,0.277622082029796,-0.769237971328979,0.445147215567799,0.824273233664372,-5.1958827346874
"JTB",0.0639839813599442,7.61047152569128,0.769123843946008,0.445214378760953,0.824292660269611,-6.26819266514768
"CCDC150",0.302523764512075,-0.201910664972371,0.768854804572093,0.445372730120324,0.824344856294203,-5.16208302151481
"SLC25A5-AS1",-0.209769760672754,1.17871115454059,-0.768698610417245,0.445464678115847,0.824344856294203,-5.28932255153074
"AC008764.8",0.127632837820671,3.0839193830895,0.768695908724002,0.445466268639935,0.824344856294203,-5.58689387240928
"LINC00944",0.115694797047425,4.29472206972198,0.768690806099011,0.44546927263475,0.824344856294203,-5.81347289543832
