"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF687",-0.129144271249138,2.7507635598443,-0.580237755423133,0.5641114927679,0.869956790983935,-5.45316753474802
"BLOC1S6",0.0671310247290297,5.80662299012888,0.580088177211218,0.564211644686398,0.869956790983935,-5.9996448836878
"SNX9",0.131033813886405,3.16231320625482,0.579978764674111,0.564284908755858,0.869956790983935,-5.51194560479265
"CGGBP1",0.0505241470474066,6.27515133591332,0.579838713255105,0.564378695887687,0.869956790983935,-6.06270149295872
"PPIH",0.0588167899106205,5.21187125537528,0.579801227297376,0.564403800121664,0.869956790983935,-5.89718307200313
"NUMB",0.0700536411471328,4.4502242078662,0.579780751575306,0.564417512884771,0.869956790983935,-5.76246364587591
"NEURL4",0.153951489752863,1.40813653401698,0.579752941013421,0.564436138115548,0.869956790983935,-5.25288433889746
"CRYZ",0.152749550892362,2.51909412726886,0.579619443833803,0.564525547795069,0.869956790983935,-5.40239772545376
"AF129075.3",0.18760071619166,0.481490012453241,0.57959449110075,0.564542260654112,0.869956790983935,-5.17369351696071
"UBB",-0.0396691490659164,9.30360755980711,-0.579524415446202,0.564589197283124,0.869956790983935,-6.39369618780482
"DNLZ",0.166906596680507,1.48828289149707,0.579220363144008,0.564792873662317,0.870180827226505,-5.26080565044447
"CD14",0.140846528438625,2.44301518667017,0.579096887397484,0.564875597076512,0.870187357091411,-5.38841300876671
"TAT-AS1",0.216815787355749,0.168645382416455,0.578906136722126,0.565003403552049,0.870187357091411,-5.15851151322624
"AP003486.1",0.18641454207298,0.415486492835546,0.578666993766123,0.565163653926543,0.870187357091411,-5.17209857104763
"ZNF236",0.107772401499971,3.88258400811528,0.578521221297793,0.565261347481907,0.870187357091411,-5.6522720932965
"GALM",0.0994875846467541,4.24982305801931,0.5783966264631,0.565344854854007,0.870187357091411,-5.72298945176891
"SSR2",0.0459486491919561,8.45461593561466,0.578351090051587,0.56537537630713,0.870187357091411,-6.31314189521534
"EIF3B",0.0689106883010123,5.22513754144591,0.57830185020089,0.565408380960492,0.870187357091411,-5.90166953221814
"POLA2",-0.147825859201525,1.71034377693264,-0.578287155554687,0.565418230721828,0.870187357091411,-5.28529250852511
"CETN3",0.185430832056582,1.85537086498945,0.578260498029992,0.565436099367965,0.870187357091411,-5.31562066122354
"BORCS6",-0.133578526825794,3.49599410464114,-0.57824295183623,0.565447860804409,0.870187357091411,-5.5824612326755
"RAB20",0.206665302605034,0.0345133779009852,0.578171832946441,0.565495533935827,0.870187357091411,-5.15129764701808
"ZBTB10",-0.14847081477012,4.51645088819132,-0.578170423336312,0.565496478859953,0.870187357091411,-5.78789486157058
"MRPL42",0.0674969901231641,5.00914340697522,0.577946817011506,0.565646381953345,0.870216256337753,-5.86572801313999
"FLJ45513",-0.177865032889958,-0.249528382010918,-0.577726495445109,0.565794102158401,0.870216256337753,-5.14331526616193
"LMO7-AS1",0.218819024968577,-0.615831747310277,0.577692285163571,0.565817041019761,0.870216256337753,-5.13172735249655
"TRAV9-2",-0.206449054035085,-0.435414181693162,-0.577660142334166,0.565838594020059,0.870216256337753,-5.13832010547992
"PRIM1",-0.124348497531051,3.45812695713781,-0.577625331671145,0.565861936361949,0.870216256337753,-5.57694637993974
"PDIK1L",0.117813794183949,2.61962344992693,0.577620831029313,0.565864954308703,0.870216256337753,-5.41917210958952
"TUBB4B",-0.0787539940010137,6.02196648349298,-0.57740977292343,0.566006490177499,0.87030231158616,-6.03252116813507
"WFS1",-0.190283416641307,-0.278074177453263,-0.577363551038466,0.566037488970143,0.87030231158616,-5.14286521046358
"AL596244.1",-0.204894981910359,-0.496443636520501,-0.577091963450016,0.566219646598383,0.870492745403671,-5.13530337155113
"GSTO2",0.230240721929068,0.0877875108161546,0.576699765901723,0.566482750017668,0.870807571349099,-5.15701436406015
"AC040169.3",0.210713054676142,0.317572876240209,0.576477887884806,0.566631622257614,0.870946752308878,-5.16594765521782
"U2AF1L5",0.261858437306524,0.0652782628042054,0.576113087290635,0.566876432340516,0.871233351649639,-5.15667415529305
"CDKAL1",0.0847263262158047,4.12060329407074,0.57600360616598,0.566949913003817,0.871256602620419,-5.70755158285172
"CCDC74A",-0.190554274770606,-0.26313564900608,-0.57579608395757,0.567089208964401,0.871312874823812,-5.14256444339637
"COQ4",0.0829309966671971,4.51958779263182,0.575770365355854,0.567106473337424,0.871312874823812,-5.77372148280893
"POLR2G",-0.0603478357135663,5.95733992543063,-0.575688248091199,0.56716159871493,0.871312874823812,-6.01998321362191
"SAMSN1",0.108624862167472,5.97109392808744,0.575535538188193,0.56726411999278,0.871332134362962,-6.02427275703694
"SCAMP1",0.0712446114166627,4.67328755491665,0.575485702820236,0.567297578772492,0.871332134362962,-5.80758688515288
"COMMD7",0.0589925673737249,6.18277430482449,0.575408807647823,0.567349207037487,0.871332134362962,-6.05009895663694
"PMPCA",-0.0660290668388152,4.70367310330059,-0.574978967984916,0.567637848693621,0.871676904979528,-5.81389846483326
"ZNF506",0.069996629991706,5.12477076091676,0.574900635227982,0.567690457706847,0.871676904979528,-5.88768274066293
"CLU",-0.152198452756579,2.54070257291622,-0.574782267186989,0.567769959340854,0.871709332947897,-5.40617739030644
"NEMF",0.0518709061085886,6.41645205223548,0.574542199733329,0.567931216926674,0.871710096009043,-6.08641893036916
"PEX26",-0.08485200576272,3.67647783358401,-0.574538907443171,0.567933428573124,0.871710096009043,-5.62541459118375
"LINC00877",0.20146807649538,-0.182462379753183,0.574520782967508,0.567945604043666,0.871710096009043,-5.14593025267247
"DHX37",0.106103112516796,3.71333778293603,0.57438092003037,0.568039564018772,0.871764696306329,-5.62221826365626
